ID,Experiment,Group,t0,t3,t7,t10,t14,t17,t21
265,1,Ad-HER3-FL,0.0,35.0,38.7,104.3,186.2,430.6,739.3
266,1,Ad-HER3-FL,0.0,50.6,44.1,87.5,172.1,198.5,467.0
267,1,Ad-HER3-FL,0.0,46.6,53.0,156.3,281.6,908.3,1535.2
268,1,Ad-HER3-FL,0.0,37.0,50.7,55.0,81.6,109.7,135.2
233,1,Ad-HER3-FL,0.0,46.6,59.8,74.4,78.4,109.3,214.2
228,1,Ad-GFP,0.0,21.4,30.9,129.6,647.8,1346.8,2321.0
229,1,Ad-GFP,0.0,51.8,85.3,197.2,437.4,1091.7,1501.0
230,1,Ad-GFP,0.0,24.5,52.0,106.0,654.4,1441.5,2454.2
231,1,Ad-GFP,0.0,28.2,46.8,143.7,489.3,1218.4,2342.7
232,1,Ad-GFP,0.0,24.0,28.1,100.4,576.2,1562.2,1996.2
301,2,Ad-HER3-FL,0.0,16.9,54.1,94.1,81.5,210.8,364.0
302,2,Ad-HER3-FL,0.0,51.9,76.3,81.6,77.1,189.2,308.4
303,2,Ad-HER3-FL,0.0,36.8,61.1,93.8,154.8,218.1,652.9
304,2,Ad-HER3-FL,0.0,43.5,50.6,91.9,137.2,316.8,555.1
305,2,Ad-HER3-FL,0.0,33.6,32.8,32.7,26.0,59.9,197.0
306,2,Ad-HER3-FL,0.0,22.1,53.0,137.2,166.1,726.9,1707.5
307,2,Ad-HER3-FL,0.0,42.5,62.2,109.3,227.8,629.2,1495.0
308,2,Ad-HER3-FL,0.0,23.3,49.7,75.7,135.8,219.4,332.8
309,2,Ad-HER3-FL,0.0,32.8,41.6,78.7,63.6,133.0,244.7
310,2,Ad-HER3-FL,0.0,48.6,70.2,121.1,294.4,558.7,1463.6
341,2,Ad-GFP,0.0,37.0,97.5,213.2,247.8,316.0,584.3
342,2,Ad-GFP,0.0,43.6,109.7,227.8,334.1,500.9,566.2
343,2,Ad-GFP,0.0,33.6,81.5,162.7,265.7,224.5,265.7
344,2,Ad-GFP,0.0,19.7,133.1,168.3,249.2,437.7,499.4
345,2,Ad-GFP,0.0,43.6,99.2,206.7,268.4,550.0,898.1
346,2,Ad-GFP,0.0,40.7,111.4,225.0,229.1,360.1,745.4
347,2,Ad-GFP,0.0,47.6,137.3,204.8,561.1,1135.1,2129.4
348,2,Ad-GFP,0.0,47.6,104.4,171.1,519.5,925.9,1485.3
349,2,Ad-GFP,0.0,36.1,79.8,210.9,624.0,1304.4,2051.4
350,2,Ad-GFP,0.0,37.9,111.6,154.9,284.0,657.3,1600.4
361,2,Saline,0.0,24.0,89.4,154.6,272.0,389.2,475.2
362,2,Saline,0.0,33.6,154.9,267.7,496.4,1130.1,3200.3
363,2,Saline,0.0,44.5,99.2,174.2,562.2,1065.7,2444.3
364,2,Saline,0.0,22.7,90.8,204.8,378.5,861.9,905.9
365,2,Saline,0.0,46.6,119.1,294.4,857.7,1491.1,2644.4
366,2,Saline,0.0,49.7,117.0,210.8,359.5,800.8,1119.5
367,2,Saline,0.0,56.4,106.2,194.1,352.8,584.1,945.6
368,2,Saline,0.0,49.7,113.1,185.7,382.2,724.7,958.2
369,2,Saline,0.0,30.4,106.2,195.2,620.0,885.1,1747.9
370,2,Saline,0.0,30.4,94.1,211.7,299.6,406.6,835.8
